codigo_sinapi,imagem_url
10587,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10587.jpeg
10589,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10589.jpeg
10597,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10597.jpeg
10598,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10598.jpeg
10630,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10630.jpeg
10640,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10640.jpeg
10667,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10667.jpeg
10691,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10691.jpeg
10740,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10740.jpeg
10743,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10743.jpeg
10747,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/10747.jpeg
11067,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/11067.jpeg
11068,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/11068.jpeg
11096,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/11096.jpeg
11359,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/11359.jpeg
11651,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/11651.jpeg
11811,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/11811.jpeg
11814,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/11814.jpeg
11816,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/11816.jpeg
12214,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12214.jpeg
12216,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12216.jpeg
12230,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12230.jpeg
12231,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12231.jpeg
12232,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12232.jpeg
12239,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12239.jpeg
12273,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12273.jpeg
12316,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12316.jpeg
12317,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12317.jpeg
12318,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12318.jpeg
12343,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12343.jpeg
12344,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/12344.jpeg
13227,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13227.jpeg
13238,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13238.jpeg
13382,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13382.jpeg
13390,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13390.jpeg
13447,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13447.jpeg
13457,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13457.jpeg
13475,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13475.jpeg
13600,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13600.jpeg
13883,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13883.jpeg
13892,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13892.jpeg
13894,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13894.jpeg
13895,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13895.jpeg
13914,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/13914.jpeg
14185,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/14185.jpeg
14186,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/14186.jpeg
14221,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/14221.jpeg
14252,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/14252.jpeg
14529,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/14529.jpeg
14531,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/14531.jpeg
14534,https://raw.githubusercontent.com/engvictordb/sinapi-imagens-insumos/main/imagens/14534.jpeg
